season,rank,name,won,runs_scored,deliveries_faced,wickets_lost,dots,singles,doubles,threes,fours,sixers,runs_allowed,deliveries_bowled,wickets_taken,dots_allowed,singles_allowed,doubles_allowed,threes_allowed,fours_allowed,sixers_allowed
2014,6,Sunrisers Hyderabad,6,1943,1578,74,566,615,106,5,166,71,2156,1620,76,607,587,102,6,184,100
2014,7,Royal Challengers Bangalore,5,1992,1613,82,664,548,106,5,164,91,2027,1608,73,577,625,117,5,172,74
2014,8,Delhi Capitals,2,1978,1633,86,589,669,96,7,177,63,2043,1503,60,511,576,107,6,176,86
2013,1,Chennai Super Kings,11,2364,1795,80,600,701,168,10,216,71,2199,1815,104,708,665,122,8,196,80
2013,2,Mumbai Indians,11,2404,1894,89,717,726,108,3,209,99,2208,1852,107,742,661,109,8,224,67
2013,3,Rajasthan Royals,10,2289,1863,82,690,709,117,11,233,63,2170,1859,99,718,664,159,7,211,52
2013,4,Sunrisers Hyderabad,10,2052,1853,100,708,745,129,6,185,48,2103,1870,105,800,654,122,8,191,66
2013,5,Royal Challengers Bangalore,9,2430,1806,78,696,614,127,5,228,101,2342,1817,103,651,685,135,11,227,72
2013,6,Kings XI Punjab,8,2312,1824,104,666,668,128,6,244,65,2297,1872,82,730,682,111,3,227,77
2013,7,Kolkata Knight Riders,6,2134,1866,102,767,655,102,13,222,57,2219,1876,97,691,769,108,7,193,72
2013,8,Pune Warriors,4,2183,1896,111,777,701,116,11,188,76,2403,1865,83,662,742,125,8,230,76
2013,9,Delhi Capitals,3,2103,1869,110,759,689,125,4,209,51,2330,1840,76,678,686,129,9,235,69
2012,1,Delhi Capitals,11,2247,1703,76,613,647,104,7,209,87,2259,1832,92,696,699,100,6,234,65
2012,2,Kolkata Knight Riders,10,2014,1711,85,603,714,111,5,178,57,1932,1742,96,654,734,108,3,153,59
2012,3,Mumbai Indians,10,2195,1866,98,729,719,95,3,205,75,2207,1863,101,720,733,114,7,183,79
2012,4,Chennai Super Kings,8,2136,1760,88,650,688,142,11,162,79,2031,1697,84,623,693,93,6,186,64
2012,5,Royal Challengers Bangalore,8,2351,1777,83,662,687,92,8,184,116,2405,1797,89,607,698,140,2,218,89
2012,6,Kings XI Punjab,8,2286,1881,102,697,713,144,3,225,61,2321,1873,93,693,713,122,9,215,77
2012,7,Rajasthan Royals,7,2393,1894,84,694,732,119,6,246,68,2251,1856,92,665,729,130,10,202,68
2012,8,Deccan Chargers,4,2202,1767,89,612,742,106,9,187,76,2291,1749,83,631,665,132,9,186,95
2012,9,Pune Warriors,4,2183,1910,104,679,805,134,4,178,59,2310,1860,79,650,783,108,4,197,82
2011,1,Royal Challengers Bangalore,9,1852,1403,63,535,501,71,1,188,74,1858,1509,70,552,595,91,4,172,61
2011,2,Chennai Super Kings,9,2096,1651,65,560,689,123,4,183,68,1877,1570,79,589,612,107,9,172,55
2011,3,Mumbai Indians,9,1861,1609,68,615,617,88,2,190,50,1817,1591,92,628,607,77,4,187,48
2011,4,Kolkata Knight Riders,8,1764,1496,64,558,599,91,5,174,42,1812,1595,82,595,658,87,4,168,47
2011,5,Kings XI Punjab,7,2080,1647,88,648,571,82,5,216,74,2041,1545,81,579,554,88,10,218,67
2011,6,Rajasthan Royals,6,1601,1414,68,579,505,104,5,153,42,1705,1412,62,530,537,103,2,163,47
2011,7,Deccan Chargers,6,2039,1676,87,563,726,103,10,194,47,1918,1616,84,680,533,107,2,191,66
2011,8,Kochi Tuskers Kerala,6,1758,1510,86,595,570,85,6,170,51,1876,1555,74,626,550,101,2,180,65
2011,9,Pune Warriors,4,1674,1469,83,643,486,101,2,153,60,1758,1525,73,588,593,105,3,149,56
2011,10,Delhi Capitals,4,1891,1535,92,625,525,92,5,181,73,1954,1492,67,554,550,74,5,202,69
2010,1,Mumbai Indians,10,2248,1662,88,545,640,132,7,232,63,1955,1611,87,545,673,118,2,186,49
2010,2,Deccan Chargers,8,2070,1641,94,604,628,115,3,180,80,2117,1651,94,615,608,113,4,196,79
2010,3,Chennai Super Kings,7,2150,1628,75,564,639,110,4,190,84,2108,1657,83,615,619,99,5,200,77
2010,4,Royal Challengers Bangalore,7,2050,1562,76,532,631,99,3,192,72,2106,1664,79,627,612,107,12,194,75
2010,5,Delhi Capitals,7,2028,1631,88,553,676,109,8,189,57,2053,1654,96,617,651,83,9,186,75
2010,6,Kolkata Knight Riders,7,1978,1634,71,628,617,82,6,199,63,2094,1605,73,523,658,118,3,218,52
2010,7,Rajasthan Royals,6,2072,1608,94,606,593,102,7,201,74,2106,1552,80,525,599,104,4,212,72
2010,8,Kings XI Punjab,4,2155,1653,80,572,643,103,8,232,57,2212,1625,74,537,647,110,7,223,71
2009,1,Delhi Capitals,10,1878,1532,67,556,586,140,9,174,46,1859,1611,102,642,583,121,6,156,63
2009,2,Chennai Super Kings,8,1944,1531,76,548,598,97,4,181,69,1781,1480,87,567,556,108,4,153,63
2009,3,Royal Challengers Bangalore,8,1895,1628,93,664,572,140,6,166,57,1912,1609,77,578,650,132,11,147,61
2009,4,Deccan Chargers,7,2000,1602,91,603,576,134,8,147,89,1992,1664,93,646,622,118,7,170,70
2009,5,Kings XI Punjab,7,1768,1608,87,637,618,107,3,140,61,1786,1491,76,624,481,130,8,162,60
2009,6,Rajasthan Royals,6,1592,1485,93,645,521,89,10,146,45,1694,1546,86,643,551,116,8,146,48
2009,7,Mumbai Indians,5,1766,1537,82,588,587,118,9,145,54,1653,1494,81,584,586,95,5,139,51
2009,8,Kolkata Knight Riders,3,1664,1463,72,604,529,107,8,136,55,1830,1491,59,561,558,112,8,162,60
2008,1,Rajasthan Royals,11,2086,1544,72,565,539,100,3,225,70,2041,1610,94,647,550,94,8,200,77
2008,2,Kings XI Punjab,10,2232,1558,71,534,573,90,10,220,93,2163,1609,94,617,534,112,3,212,88
2008,3,Chennai Super Kings,8,2097,1580,73,604,544,95,7,218,74,2150,1589,78,548,598,99,6,209,80
2008,4,Delhi Capitals,7,1920,1397,67,450,546,101,4,209,52,1917,1479,87,553,555,70,4,184,75
2008,5,Mumbai Indians,7,1897,1495,80,616,482,66,6,197,74,1963,1561,94,607,566,82,4,202,66
2008,6,Kolkata Knight Riders,6,1801,1495,88,611,513,87,1,162,76,1566,1280,70,522,426,65,2,175,47
2008,7,Royal Challengers Bangalore,4,1865,1601,106,637,616,69,2,186,59,2053,1569,66,594,564,73,3,216,75
2008,8,Deccan Chargers,2,2117,1613,93,625,573,73,4,202,91,2162,1586,67,554,593,86,7,221,81
